영화명,유형,장르,제작년도,감독,actor
바람과 함께 사라지다,극영화,"액션,코메디",2012,김주호,"차태현,오지호,민효린,성동일,신정근,고창석,송종호,이채영,김길동,천보근,김향기,김구택,독고준,권혁풍,오나라,장남열,최태환,김홍수,백광두,이종혁,정종열,김왕근,최광덕,진용욱,김강일,윤종구,김주영,조재룡,최대호,김록경,김민혁 ,이상협,엄문찬,문영동,성치호,오희준,정혜미,김창겸,채송화,이석표,김주아,배단희,하윤채,한유림,송혜윤,김예림,정수연,안세실리아,한유림,박소이,안소리,이아람,차영비,신아람,문숙영,박새봄,한루비,박미라,임혜인,황재하,김초원,염준혁,이주현,현승연,황원태,이예은,김준형,박채은,최종명,임창훈,남경읍,이문식,송중기),심철종"
무서운 이야기,극영화,공포,2012,"정범식,임대웅,홍지영,김곡,김선","유연석,김지원,김현수,노강민,노현희,이동규,이채경),엄태구,이규호,정우식,주유랑,강현욱,정우식,태인호,이양석,함시훈,김우석,정아노마,정와니,문경태,리나,말라쉐,김대우,강경이,윤혜성,유세은,김다예,주유랑,박정민,김태우,라미란,박수영,김보경),이지은,정연필,구영자,정경애,문원규,주혜랑,홍연희,방혜란,이정민,이성수,정다운,진태현,최윤영,차미영,김기천,민성욱,정미남,진용욱,최반아,손지윤,오명석,정은채,남보라,나영희,배수빈,임성민,수인,김성표,김지영,조한철,김예원,박재웅,이윤정,정태영,이익준,이준섭,이한상,송현진,박경남,이현우,안상완,김윤배,남건희,맹학영,백성배,백종원,이경환,최성윤,권미현,김영훈,김효비,서진석,이정하,조지훈"
577 프로젝트 ,극영화,"드라마,코메디",2012,이근우,"강신철,공효진,김근현,김성균,김준규,김혜화,박아인,이상원,이수인,이승준,이승하,이지훈,차현우,최희서,최진욱,하석,하정우,한성천"
영건 탐정사무소,극영화,"액션,SF",2012,오영두,"홍영근,최송현,하은정,배용근,김희창,이승진,조승연,김여진,이한솔,현태,조한,서병철,하성광,박혁권,김성기,유지연,주인영,시오타 토키토시,구춘모 ,유지하,문봉섭,김윤창,조현열,최문성,박수영,박민우,이희종,홍근표,오세영,김신웅,이인섭,강상용,형슬우,김신웅,류선광,김경빈,장소라,형슬우,구춘모,장윤정,방정문,조진주"
숫호구,극영화,"SF,판타지,코메디",2012,백승기 ,"백승기,손이용,박지나,조한철,김선호,성충경,신예주,백대현,이순자,손규진,이민옥,Raheeahn DeLaney,Taylor LAGIESKI,엄소라,마뇨,우명희,오창경,채휘리,원종은,강병진,이지혜,미미,나정임,김현정,이은지,임혜원,김연희,이현호,조찬영,허윤정,유재윤,조송혁"
아마추어,극영화,"드라마,미스터리",2012,예그림,"정유리,최경화,임지환,최경화"
은교 ,극영화,멜로드라마,2012,정지우,"박해일,김무열,김고은,정만식,박철현,장윤실,정서인,김경일,박진우,백현진,안민영,임미연,김민재,강덕중,이고은,최은미,배수현,이봉규,강은경,김서경,곽자형,유승우,이후빈,오세호,전소영,윤감용,나정수,이요한,임미경,이정옥,이혜정,김연준,김재준,김규성,소수현,임형태,김봉수,김국창"
남영동1985,극영화,드라마,2012,정지영,"박원상,이경영,명계남,김의성,서동수,이천희,김중기,문성근,우희진,강인형,한승도,박성근,전익수,권병길,오지혜,양기환,문정현,라연지,배용근,이요성,배장수,이창진,채원병,최필선,유진,김주흥,김명수,오창석,이후창,문용식,서승,임봉택,유인태,이재오,김태룡,김종삼,이학영,설훈,조성우,유숙열,황인오,박동운,최경환,민병두,최양준,김장호,하원차랑,정삼근,안희정,김철,김양기"
26년,극영화,"드라마,액션",2012,조근현,"진구,한혜진,배수빈,임슬옹,이경영,장광,조덕제,김의성,이미도,안석환,민복기,구성환,김정국,김민재,이상훈,최귀화,김기천,김정석,조완기,한근섭,강구현,서동구,문성복,김진만,이현걸,김상용,윤석진,고경민,전종석,김얼,이종우,임현규,서영화,이설구,남상백,정희태,유병선,노강민 ,박서연,나규민,이정민,박솔나리,김주년,김관수,장영,이유현,정현진,지성용,김남식,김병오,고명일,공병철,곽기훈,권덕성,김규호,김성래,김명성,김용석,김인철,김주황,김진엽,김태준,나규봉,나철,변우진,신화철,윤성웅,이명노,이성문,이정훈,이종신,이종혁,정수용,조수현,조흰돌,최우진,양용천,현정우,정광재,권재민,양일혁,제니퍼정,김용민,박혁권,김선화,천우희,김도윤"
잔혹한 앵글의 로망스,극영화,"멜로드라마,미스터리",2012,고락중,"한가윤,미나"
